数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,73239990,CROCKERY(STAINLESS STEEL) (291228 XUEGAOGENG) (WT : 10.32 KG - S),ASIATIC OVERSEAS,--,0,48.00,11.21,India,China
印度全港,进口,2018-01-01,73239990,CROCKERY(STAINLESS STEEL) (291222 ZHUCANGENG) (WT : 12.9 KGS - ),ASIATIC OVERSEAS,--,0,48.00,14.13,India,China
印度全港,进口,2018-01-01,73239990,CROCKERY(STAINLESS STEEL) (291221 ZHUCANCHA) (WT : 9.46 KGS) -,ASIATIC OVERSEAS,--,0,48.00,10.23,India,China
印度全港,进口,2018-01-01,73239990,CROCKERY(STAINLESS STEEL) (289341 TIANPINCHA) (WT : 7.74 KGS - ),ASIATIC OVERSEAS,--,0,48.00,8.28,India,China
印度全港,进口,2018-01-01,73239990,CROCKERY(STAINLESS STEEL) (291235 TANGGE) (WT : 8.6 KGS) -,ASIATIC OVERSEAS,--,0,48.00,9.26,India,China
印度全港,进口,2018-01-01,94032090,"DUSTBIN(STAINLESS STEEL,PLASTIC) (9901-COFFEE COLOR) (WT : 0 - .86 KGS)",ASIATIC OVERSEAS,--,0,1.00,1.34,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (1217S) (WT : 5.16 KGS) -,ASIATIC OVERSEAS,--,0,3.00,44.49,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (83093030) (WT : 4.3 KGS) -,ASIATIC OVERSEAS,--,0,1.00,37.07,India,China
数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (83083003) (WT : 2.58 KGS) -,ASIATIC OVERSEAS,--,0,1.00,22.24,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (83093010) (WT : 1.89 KGS) -,ASIATIC OVERSEAS,--,0,1.00,16.31,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (78283001) (WT : 1.72 KGS) -,ASIATIC OVERSEAS,--,0,2.00,14.82,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (78283003) (WT : 1.72 KGS) -,ASIATIC OVERSEAS,--,0,2.00,14.82,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (SID-1P COPPER) (WT : 1.72 KGS) -,ASIATIC OVERSEAS,--,0,1.00,14.83,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (SIDE-1P ROSE GOLD) (WT : 1.72 KGS) -,ASIATIC OVERSEAS,--,0,1.00,14.83,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (SIDE-1P WHITE) (WT : 1.72 KGS) -,ASIATIC OVERSEAS,--,0,1.00,14.83,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (YG104261D-1AWHITE) (WT : 8.6 KGS) -,ASIATIC OVERSEAS,--,0,2.00,74.15,India,China
印度全港,进口,2018-01-01,94054090,HANGING LAMP(STEEL) (YG104261D-1BLACK) (WT : 12.9 KGS) -,ASIATIC OVERSEAS,--,0,3.00,111.22,India,China
印度全港,进口,2018-01-01,94054090,STANDING LAMP(STEEL) (HB-1856) (WT : 4.3 KGS) -,ASIATIC OVERSEAS,--,0,1.00,37.07,India,China
印度全港,进口,2018-01-01,73269099,FOC RETURNABLE STEEL SPOOLS (BS60) BLU BLU/YLW-960 PCS (FOR - RE-EXPORT) 1 SPOOL @ USD 2.200 EACH,ATC TIRES PRIVATE LIMITED,--,0,1881.60,2120.17,India,China
印度全港,进口,2018-01-01,73269099,SPOOL STEEL BS60/ND BLU BLU/GRY ( 1008 PCS ) (RETURNABLE BAS - IS),YOKOHAMA INDIA PVT. LTD.,--,0,1975.68,2226.18,India,China
印度全港,进口,2018-01-01,82042000,"MATT CHROME VANADIUM STEEL TORX HEX KEY SET,SPECIALTY  ( HAND TOOLS ) QTY : 480 SET",MULTI NATIONAL IMPORT EXPORT CO.,--,0,175.00,462.91,India,China
印度全港,进口,2018-01-01,82042000,"MATT CHROME VANADIUM STEEL TORX HEX KEY SET,LONG ( HAND TOOLS ) QTY : 240 SET",MULTI NATIONAL IMPORT EXPORT CO.,--,0,75.00,204.66,India,China
印度全港,进口,2018-01-01,82032000,HYDRAULIC STEEL PLIER SIZE : 20  (HAND TOOLS) QTY : 8 PCS,MULTI NATIONAL IMPORT EXPORT CO.,--,0,45.00,210.91,India,China
印度全港,进口,2018-01-01,82032000,HYDRAULIC STEEL PLIER SIZE : 16 (HAND TOOLS) QTY : 8 PCS,MULTI NATIONAL IMPORT EXPORT CO.,--,0,26.00,128.48,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,1415.00,2081.00,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,3975.00,5845.90,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,3775.00,5551.76,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,4080.00,6000.31,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,3670.00,5397.34,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,3258.00,4791.43,India,China
印度全港,进口,2018-01-01,72209090,NON MAGANETIC SS STEEL COIL 201- 0.28 MM X 1000 MM,RISHABH HOUSEWARE PRIVATE LIMITED,--,0,2746.00,4038.45,India,China
印度全港,进口,2018-01-01,72191190,COLD ROLLED STAINLESS STEEL COILS 430 2B 2.00MM X 1219MM,COTSWOLD ARCHITECTURAL PRODUCTS INDIA PVT LTD,--,0,33631.00,46590.25,India,China
印度全港,进口,2018-01-01,72191190,COLD ROLLED STAINLESS STEEL COILS 430 2B 0.80MM X 1219MM,COTSWOLD ARCHITECTURAL PRODUCTS INDIA PVT LTD,--,0,20491.00,29929.70,India,China
印度全港,进口,2018-01-01,72202090,STAINLESS STEEL TAPE GRADE304H(FOR MFG OF TELE COMMUNICATIONGRADE OPTICAL FIBRE CABLE),STERLITE POWER TRANSMISSION LIMITED,--,0,7105.00,21397.42,India,China
印度全港,进口,2018-01-01,90011000,OPTICAL FIBER CABLE-24  FIBERS IN STAINLESS STEEL TUBE  (128.37KM),STERLITE POWER TRANSMISSION LIMITED,--,0,3646.00,71453.85,India,China
印度全港,进口,2018-01-01,73239390,Steel Mug,N S ENTERPRISES,--,0,1000.00,1411.07,India,China
印度全港,进口,2018-01-01,84829119,000903-00 BALL STEEL (PARTS OF POWER TOOLS) (@USD 0.0107 X 7800 PCS),STANLEY BLACK & DECKER INDIA PRIVATE  LIMITED.,--,0,6.86,86.60,India,China
印度全港,进口,2018-01-01,72199090,STAINLESS STEEL SECONDARY CR COILS GRADE 304 WIDTH ABOVE 600MM,PARAM INDUSTRIES,--,0,22.23,46305.62,India,China
印度全港,进口,2018-01-01,83024900,PATCH FITTING (ENOX)  EPF 705   QTY 10 PCS (STAINLESS STEEL+ M.S.+ BRASS + ALUMINIUM),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,4.80,32.57,India,China
印度全港,进口,2018-01-01,83024900,PATCH FITTING (ENOX)  EPF 705   QTY 340 PCS (STAINLESS STEEL+ M.S.+ BRASS + ALUMINIUM),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,178.50,1107.33,India,China
印度全港,进口,2018-01-01,83024900,PATCH FITTING (ENOX)  EPF 703 P  QTY 10 PCS (STAINLESS STEEL+ M.S.+ BRASS + ALUMINIUM),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,6.50,39.34,India,China
印度全港,进口,2018-01-01,83024900,PATCH FITTING (ENOX)  EPF 703 P  QTY 340 PCS (STAINLESS STEEL + M.S.+ BRASS + ALUMINIUM),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,229.50,1337.56,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1318  QTY 100 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,110.00,836.30,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1315  QTY 100 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,85.00,771.97,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1136  QTY 100 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,174.50,1157.95,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1212 QTY 320 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,144.00,1544.19,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1215 QTY 100 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,53.50,530.77,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1218 QTY 100 SET (STAINLESS STEEL +M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,60.00,562.85,India,China
数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1210 QTY 10 SET (STAINLESS STEEL + M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,4.20,45.03,India,China
印度全港,进口,2018-01-01,83024900,DOOR HANDLE (ENOX) ESDH 1210 QTY 40 SET (STAINLESS STEEL + M.S.+ P.V.C.),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,16.10,180.13,India,China
印度全港,进口,2018-01-01,83024900,SHOWER HANDLE (ENOX) EH 007  SS QTY 500 PRS (STAINLESS STEEL- SUS 304),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,237.50,2653.84,India,China
印度全港,进口,2018-01-01,83024900,SHOWER HANDLE (ENOX) EH 005  SS QTY 10 PRS (STAINLESS STEEL- SUS 304),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,4.00,53.08,India,China
印度全港,进口,2018-01-01,83024900,SHOWER HANDLE (ENOX) EH 005  SS QTY 140 PRS (STAINLESS STEEL- SUS 304),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,63.00,743.08,India,China
印度全港,进口,2018-01-01,83013000,ELITE SERIES BOTTOM LOCK (ENOX) ELITE EPF 1706  QTY - 1200 PCS ( STAINLESS STEEL + M.S. + BRASS + ALUMINIUM),ENOX HARDWARE INDIA PRIVATE LIMITED.,--,0,888.00,7177.95,India,China
印度全港,进口,2018-01-01,73239390,SS HANDLE MUG WHITE GATHERINGS /108 NUM [ OF STAINLESS STEEL],TATA STARBUCKS PRIVATE LIMITED,--,0,108.00,805.95,India,China
印度全港,进口,2018-01-01,73239390,SS HANDLE MUG COPPER GATHERING /108 NUM [ OF STAINLESS STEEL],TATA STARBUCKS PRIVATE LIMITED,--,0,108.00,887.67,India,China
印度全港,进口,2018-01-01,94036000,FURNITURE OFFICE TABLE (MDF+STEEL) (91 KGS),RAJ OVERSEAS (PROP. BHUSHAN R. KHANDELWAL),--,0,1.00,295.94,India,China
印度全港,进口,2018-01-01,72251100,"PRIME CRGO ELECTRICAL STEEL COILS GRADE 27CG120,THICKNESS 0.27MM,WIDTH 950-1050MM,BIS LIC NO. CM/L-4038752",KRYFS POWER COMPONENTS LIMITED,--,0,263.12,379937.31,India,China
印度全港,进口,2018-01-01,72251100,"PRIME CRGO ELECTRICAL STEEL COILS GRADE 27HP100,THICKNESS 0.27MM,WIDTH 950-1050MM,BIS LIC NO. CM/L-4038752",KRYFS POWER COMPONENTS LIMITED,--,0,4.33,7219.77,India,China
印度全港,进口,2018-01-01,72251100,"PRIME CRGO ELECTRICAL STEEL COILS GRADE 27HP100,THICKNESS 0.27MM,WIDTH 950-1050MM,BIS LIC NO. CM/L-4038752",KRYFS POWER COMPONENTS LIMITED,--,0,104.95,175153.68,India,China
印度全港,进口,2018-01-01,72286094,"ALLOY STEEL  ROUND-STEEL GRADE 66054/1.2379- SIZE 10,10.5,13MM",VISION VANIJYA  PVT. LTD.,--,0,0.87,2350.37,India,China
印度全港,进口,2018-01-01,72286094,ALLOY STEEL  ROUND- STEEL GRADE 66054/1.2344 SIZE 18 MM,VISION VANIJYA  PVT. LTD.,--,0,0.30,709.73,India,China
印度全港,进口,2018-01-01,72286094,"ALLOY STEEL  ROUND- STEEL GRADE 66054/1.2344, SIZE 4.5, 5,9.5, 10.2, 10.5, 11, 12.2, 13.3, 14.3, 14.3 MM",VISION VANIJYA  PVT. LTD.,--,0,4.74,12761.44,India,China
印度全港,进口,2018-01-01,73043139,CARBON STEEL SEAMLESS  PIPES   (HOT FINISH) ASTM A 106 GR B( 22X3X5000-5800),"SAINEST TUBES PVT. LTD.,",--,0,24090.00,28038.14,India,China
印度全港,进口,2018-01-01,73259999,TRAY ARTICLES OF IRON OR STEEL,ITZU INTERNATIONAL PRIVATE LIMITED,--,0,80.00,205.71,India,China
印度全港,进口,2018-01-01,73079390,"CARBON STEEL SEAMLESS ELBOW 22""X THICKNESS(WT):14.27MM-RADIUS 5D-90-MATERIAL API 5LX52 DIMENSIONS AS PER ASME B16 49,SIZ","SUPERIOR STEEL OVERSEAS,",--,0,1705.52,6852.56,India,China
印度全港,进口,2018-01-01,73071900,"1816493 304 TUBE, DIA 25MM X 90 [STEEL TUBE] [QTY 8000 PCS X0.98 USD / PCS]",IDEX INDIA PVT. LTD.,--,0,410.00,7898.99,India,China
印度全港,进口,2018-01-01,73062100,STAINLESS STEEL WELDED PIPE GRADE 201 EX STOCK (NICKEL BELOW1.50%) (HOT FINISHED ),JANTA STEEL HOUSE,--,0,26350.00,37693.95,India,China
印度全港,进口,2018-01-01,73062100,STAINLESS STEEL WELDED PIPE GRADE 201 EX STOCK (NICKEL BELOW1.50%)(HOT FINISHED),JANTA STEEL HOUSE,--,0,26120.00,37364.93,India,China
印度全港,进口,2018-01-01,34039900,STEEL LUBRICANT,RAAJRATNA METAL INDUSTRIES LIMITED,--,0,1200.00,6580.95,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.25 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,1841.00,2047.28,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.25 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19547.00,20900.68,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19862.00,20590.88,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,20326.00,21071.91,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,19580.00,20298.53,India,China
印度全港,进口,2018-01-01,72173010,BRASS PLATED STEEL WIRE 1.98 MM (MADE OF NON ALLOY STEEL WIRE),BEKAERT INDUSTRIES PVT. LTD.,--,0,18249.00,18918.69,India,China
印度全港,进口,2018-01-01,73061100,"STAINLESS STEEL WELDED PIPE GRADE J3 , EX-STOCK (NICKEL BELOW 1.5%)",WELKIN INFOTECH PRIVATE LIMITED,--,0,53.00,65.44,India,China
印度全港,进口,2018-01-01,73061100,"STAINLESS STEEL WELDED PIPE GRADE J3 , EX-STOCK (NICKEL BELOW 1.5%)",WELKIN INFOTECH PRIVATE LIMITED,--,0,25700.00,31733.24,India,China
印度全港,进口,2018-01-01,87087000,(AUTO PART FOR CAPTIVE USE) WHEEL 17X4.0 STEEL SPARE (PART NO:533597890) (QTY:40 NOS),FIAT INDIA AUTOMOBILES PRIVATE LIMITED,--,0,352.00,662.78,India,China
印度全港,进口,2018-01-01,84829119,"STEEL BALL  1/4"" (MADE OF MS)  NT WT- 9000 KGS",TEJ ENTERPRISES,--,0,59940.00,8197.01,India,China
印度全港,进口,2018-01-01,39222000,0069690037 SOFT CLOSE STAINL. STEEL C0102G (TOILET SEAT & COVER) (840 PCS),"DURAVIT INDIA   PVT. LTD.,",--,0,1993.00,18896.37,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" ROUND GROUND BLANKS (75 DOZ)",JK FILES (INDIA) LTD.,--,0,57.00,294.49,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" HR GROUND BLANKS (680DOZ)",JK FILES (INDIA) LTD.,--,0,544.00,2518.24,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" SQUARE GROUND BLANKS (1225 DOZ)",JK FILES (INDIA) LTD.,--,0,1225.00,4760.26,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" SQUARE GROUND BLANKS (500 DOZ)",JK FILES (INDIA) LTD.,--,0,210.00,1481.32,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" T/SQUARE GROUND BLANKS(220 DOZ)",JK FILES (INDIA) LTD.,--,0,385.00,937.49,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" T/SQUARE GROUND BLANKS(720 DOZ)",JK FILES (INDIA) LTD.,--,0,594.00,2235.37,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 14"" HR SMOOTH BRAND A (50DOZ)",JK FILES (INDIA) LTD.,--,0,350.00,1728.88,India,China
数据源,进出口,日期,HS编码,商品描述,采购商,供应商,重量,数量,金额,目的国/地区,原产国/地区
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 14"" HR 2 CUT BRAND A (100DOZ)",JK FILES (INDIA) LTD.,--,0,700.00,3043.80,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 12"" HR BASTARD (565 DOZ)",JK FILES (INDIA) LTD.,--,0,2712.00,8386.65,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" HR 2 CUT (1000 DOZ)",JK FILES (INDIA) LTD.,--,0,3000.00,11434.56,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 5"" SLIM TAPER (2700 DOZ)",JK FILES (INDIA) LTD.,--,0,675.00,5259.69,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" FLAT HANDLE BASTARD (1500 DOZ)",JK FILES (INDIA) LTD.,--,0,5100.00,12175.22,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" FARMER OWN (3080 DOZ)",JK FILES (INDIA) LTD.,--,0,8624.00,21249.81,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 12"" FLAT BASTARD (1020 DOZ)",JK FILES (INDIA) LTD.,--,0,4692.00,11269.99,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 8"" HEAVY TAPER (100 DOZ)",JK FILES (INDIA) LTD.,--,0,190.00,623.98,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10"" FLAT BASTARD (20 DOZ)",JK FILES (INDIA) LTD.,--,0,56.00,154.63,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 10""  MILL BASTARD (2150 DOZ)",JK FILES (INDIA) LTD.,--,0,5805.00,15967.80,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" FLAT BASTARD (20 DOZ)",JK FILES (INDIA) LTD.,--,0,15.00,76.91,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 6"" FLAT BASTARD (480 DOZ)",JK FILES (INDIA) LTD.,--,0,368.00,1845.76,India,China
印度全港,进口,2018-01-01,82031000,"SEMI FINISH UNHARDENED STEEL FILES 4"" SLIM TAPER (5800 DOZ)",JK FILES (INDIA) LTD.,--,0,1160.00,9297.81,India,China
印度全港,进口,2018-01-01,94036000,OUTDOOR SOFA SET MADE OF RATTAN AND STEEL 75KGS,EPITOME RESIDENCY PRIVATE LIMITED,--,0,1.00,648.65,India,China
